"'"	"a"	"esto"
"''"	"''ahora"	"le"
"''"	"''bien"	"lo"
"''"	"''de"	"qué"
"''"	"''estranjero"	"soy"
"''"	"''lo"	"que"
"''"	"''no"	"respondí"
"''"	"''pues"	"si"
"''"	"''quién"	"es"
"''"	"''yo"	"te"
"''"	"''yo"	"respondió"
"''"	"a"	"todo"
"''"	"acabáronse"	"las"
"''"	"aquí"	"acabé"
"''"	"con"	"este"
"''"	"cuando"	"acudía"
"''"	"dijo"	"a"
"''"	"en"	"esto"
"''"	"en"	"estas"
"''"	"en"	"fin"
"''"	"es"	"mi"
"''"	"las"	"gitanas"
"''"	"le"	"pregunté"
"''"	"libre"	"dios"
"''"	"lope"	"que"
"''"	"luego"	"esta"
"''"	"me"	"llamó"
"''"	"otro"	"más"
"''"	"preguntó"	"el"
"''"	"preguntó"	"el"
"''"	"que"	"me"
"''"	"repitieron"	"esto"
"''"	"respondió"	"ella"
"''"	"son"	"también"
"''"	"uno"	"se"
"''"	"y"	"ella"
"''"	"y"	"ayudados"
"''"	"y"	"en"
"''"	"y"	"en"
"''"	"y"	"escribiendo"
"''"	"yo"	"a"
"''"	"yo"	"que"
"''"	"ésta"	"alababa"
"''a"	"ello"	"hija"
"''a"	"mi"	"respondió"
"''ahora"	"le"	"di"
"''al"	"ladrón"	"al"
"''al"	"ladrón"	"gavilán"
"''al"	"lobo"	"barcino"
"''apártense"	"que"	"rabia"
"''aquél"	"es"	"el"
"''asturiano"	"daca"	"la"
"''ay"	"qué"	"copete"
"''ay"	"qué"	"blancura"
"''ay"	"qué"	"ojos"
"''bellaco"	"charlatán"	"embaidor"
"''bien"	"esperaba"	"yo"
"''bien"	"han"	"exagerado"
"''bien"	"lo"	"puede"
"''bonita"	"es"	"bien"
"''cabecita"	"cabecita"	"tente"
"''callad"	"hermanos"	"decían"
"''contenta"	"estarás"	"oh"
"''corre"	"moza"	"bien"
"''cristiano"	"ya"	"eres"
"''cuatro"	"quejosos"	"tales"
"''cómo"	"y"	"no"
"''de"	"lo"	"que"
"''de"	"qué"	"manera"
"''de"	"qué"	"trata"
"''dejen"	"crecer"	"a"
"''desdichada"	"de"	"aquella"
"''dios"	"te"	"bendiga"
"''dirás"	"tú"	"ahora"
"''déjenle"	"al"	"cuitado"
"''désta"	"respondió"	"el"
"''ea"	"gavilán"	"amigo"
"''eres"	"tú"	"hijo"
"''es"	"menester"	"amigos"
"''esta"	"perla"	"que"
"''esta"	"puta"	"vieja"
"''este"	"es"	"el"
"''este"	"tiene"	"el"
"''este"	"ungüento"	"con"
"''esto"	"dijo"	"la"
"''estranjero"	"soy"	"y"
